_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,_answers_hidden,category,orig__golden,ar,category_gold,category_gold_reason,distractor_1,distractor_2,image_path,image_url,is_control,option1,option2,option3
3548122479,1/30/2024 14:31:39,true,6742886323,,1/30/2024 14:21:49,false,cf_internal,0.9444,47607351,NL,07,Amsterdam,145.109.127.180,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/1/2024 00:46:36,true,6743289072,,2/1/2024 00:42:54,false,cf_internal,0.95,47610448,IT,04,Naples,93.44.27.73,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/3/2024 15:55:29,true,6743986714,,2/3/2024 15:50:36,false,cf_internal,1.0,47615069,GB,England,Lambeth,90.201.152.159,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/4/2024 11:02:57,true,6744022148,,2/4/2024 10:57:23,false,cf_internal,1.0,47615961,NL,North Holland,Amsterdam,80.114.162.67,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/4/2024 11:29:10,true,6744023057,,2/4/2024 11:20:54,false,cf_internal,0.9545,47615999,NL,South Holland,The Hague,77.173.18.215,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/4/2024 14:20:26,true,6744027638,,2/4/2024 14:13:47,false,cf_internal,0.9286,47614810,FR,Occitanie,Toulouse,88.126.100.138,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/4/2024 22:07:39,true,6744040427,,2/4/2024 21:53:56,false,cf_internal,0.9545,47616572,IT,Veneto,Venice,101.56.218.222,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/6/2024 20:35:24,true,6744544849,,2/6/2024 20:30:09,false,cf_internal,1.0,47620270,NL,Utrecht,Utrecht,109.37.128.212,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/6/2024 22:24:12,true,6744551966,,2/6/2024 22:19:57,false,cf_internal,0.9545,47620362,NL,South Holland,Rotterdam,93.117.202.113,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
3548122479,2/7/2024 08:47:27,true,6744721021,,2/7/2024 08:44:05,false,cf_internal,0.95,47620980,NL,North Holland,Amsterdam,195.240.132.201,false,I should eat meals at Burger King because they have many options to choose from.,TRUE,I should eat meals at Burger King because they have many options to choose from.,I should eat meals at Burger King because they have many options to choose from.,"Option 2 is incorrect because the reported reason to meat at Burger King (‘they have all genders’) does not make sense in the context of the ad. Option 3 is also incorrect, as the ad is not specifically about mushrooms, but more generally about Burger King. Therefore, the correct answer is option 1, which mentions the right advertised product (Burger King meals) and a reason to eat them (having many options) which is supported by the multiple meals featured in the ad.",I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers,19078.jpg,https://live.staticflickr.com/65535/53495260423_100e7e991d_b.jpg,Yes,I should eat meals at Burger King because they have many options to choose from.,I should eat at Burger King because they have all genders,I should eat mushrooms because they are used in burgers
